recording_id,segment_id,start_sec,end_sec,disfluency_type,evidence,segment_text,clip_path
238079,0,37.54,42.7,filler,ओके,ओके।,data_q2_disfluency/clips/238079_seg0.wav
238079,1,45.58,58.39,filler,अम्म,अम्म फिलहाल तो मेरा है कि मुझे प्रोफेसर बनना है तो फिलहाल मैं वो देख रही हूँ उसके उसका प्रिपरेशन करना है अ,data_q2_disfluency/clips/238079_seg1.wav
238079,1,45.58,58.39,filler,हूँ,अम्म फिलहाल तो मेरा है कि मुझे प्रोफेसर बनना है तो फिलहाल मैं वो देख रही हूँ उसके उसका प्रिपरेशन करना है अ,data_q2_disfluency/clips/238079_seg1.wav
238079,1,45.58,58.39,filler,अ,अम्म फिलहाल तो मेरा है कि मुझे प्रोफेसर बनना है तो फिलहाल मैं वो देख रही हूँ उसके उसका प्रिपरेशन करना है अ,data_q2_disfluency/clips/238079_seg1.wav
238079,3,64.81,69.19,filler,अच्छा,अच्छा,data_q2_disfluency/clips/238079_seg3.wav
238079,4,81.22,87.88,filler,हां,जी हां हां,data_q2_disfluency/clips/238079_seg4.wav
238079,4,81.22,87.88,filler,हां,जी हां हां,data_q2_disfluency/clips/238079_seg4.wav
238079,4,81.22,87.88,repetition,हां (x2),जी हां हां,data_q2_disfluency/clips/238079_seg4.wav
238079,4,81.22,87.88,hesitation,जी हां हां,जी हां हां,data_q2_disfluency/clips/238079_seg4.wav
238079,5,108.16,111.25,filler,हां,हां अच्छा,data_q2_disfluency/clips/238079_seg5.wav
238079,5,108.16,111.25,filler,अच्छा,हां अच्छा,data_q2_disfluency/clips/238079_seg5.wav
238079,6,123.07,126.28,repetition,जी (x2),जी जी .,data_q2_disfluency/clips/238079_seg6.wav
238079,7,148.66,153.64,filler,हुन,हुन,data_q2_disfluency/clips/238079_seg7.wav
238079,7,148.66,153.64,hesitation,हुन,हुन,data_q2_disfluency/clips/238079_seg7.wav
238079,8,171.79,176.41,repetition,जी (x2),जी जी,data_q2_disfluency/clips/238079_seg8.wav
238079,8,171.79,176.41,hesitation,जी जी,जी जी,data_q2_disfluency/clips/238079_seg8.wav
238079,9,179.41,187.06,filler,ह्यू,ह्यू,data_q2_disfluency/clips/238079_seg9.wav
238079,9,179.41,187.06,hesitation,ह्यू,ह्यू,data_q2_disfluency/clips/238079_seg9.wav
238079,12,234.01,248.59,repetition,जी (x2),जी जी,data_q2_disfluency/clips/238079_seg12.wav
238079,12,234.01,248.59,hesitation,जी जी,जी जी,data_q2_disfluency/clips/238079_seg12.wav
238079,14,263.32,277.57,filler,आ,क ये काम होना चाहिए अब ऐसा काम अगर मिल जाए आ जिसमें आपको वो करने में आपको अ मन ना लगे या फिर आपको जो करना चाहे जबरदस्ती आप कर रहे हो तो फिर वो आप मतलब वो काम सही से नहीं हो पाते मेरा ये मानना है,data_q2_disfluency/clips/238079_seg14.wav
238079,14,263.32,277.57,filler,अ,क ये काम होना चाहिए अब ऐसा काम अगर मिल जाए आ जिसमें आपको वो करने में आपको अ मन ना लगे या फिर आपको जो करना चाहे जबरदस्ती आप कर रहे हो तो फिर वो आप मतलब वो काम सही से नहीं हो पाते मेरा ये मानना है,data_q2_disfluency/clips/238079_seg14.wav
238079,15,277.6,291.49,filler,अ,अगर आप ऐसे ही काम को ऐसे करियर को चूज करते हैं जिसमें मतलब अ आपका मन भी लगता रहे एंड आपको वो आपको वो करने में मज़ा आए आपको बतलब री अ बाद में पश्तावा ना हो कि ये मैंने क्यों कर लिया ये मुझे नहीं करना चाहिए था,data_q2_disfluency/clips/238079_seg15.wav
238079,15,277.6,291.49,filler,अ,अगर आप ऐसे ही काम को ऐसे करियर को चूज करते हैं जिसमें मतलब अ आपका मन भी लगता रहे एंड आपको वो आपको वो करने में मज़ा आए आपको बतलब री अ बाद में पश्तावा ना हो कि ये मैंने क्यों कर लिया ये मुझे नहीं करना चाहिए था,data_q2_disfluency/clips/238079_seg15.wav
238079,16,291.55,295.9,filler,आ,तो आ ऐसा नहीं होना चाहिए मेरा ये ख्याल है।,data_q2_disfluency/clips/238079_seg16.wav
238079,16,291.55,295.9,filler,तो,तो आ ऐसा नहीं होना चाहिए मेरा ये ख्याल है।,data_q2_disfluency/clips/238079_seg16.wav
238079,17,298.54,302.65,filler,हम्म,हम्म,data_q2_disfluency/clips/238079_seg17.wav
238079,23,392.26,406.93,filler,उह,कि आपने अगर उह पहले कही जॉब किया रहेगा मतलब किया है और अगर आपको फिर से वो कंपनी छोड़ते हो एंड आपने बहुत तक मतलब टाइम दिया है उस कंपनी को एंड फिर आप अगर उसको छोड़ते हो तो आपको बहुत एक एक्सपीरियंस गेन हो जाता है कि हां ये काम करते हैं,data_q2_disfluency/clips/238079_seg23.wav
238079,23,392.26,406.93,filler,हां,कि आपने अगर उह पहले कही जॉब किया रहेगा मतलब किया है और अगर आपको फिर से वो कंपनी छोड़ते हो एंड आपने बहुत तक मतलब टाइम दिया है उस कंपनी को एंड फिर आप अगर उसको छोड़ते हो तो आपको बहुत एक एक्सपीरियंस गेन हो जाता है कि हां ये काम करते हैं,data_q2_disfluency/clips/238079_seg23.wav
238079,24,406.93,421.6,repetition,जल्दी (x2),करना है ये काम करना है एंड फिर अगर आप नया कोई जॉब जॉइन करते हो उसी फिल्ड में तो फिर अब आप आपका बहुत चांसेस रहते हैं कि आपका मतलब जो प्रमोशन वगैरह है वह बहुत जल्दी जल्दी होने लगता है ऐंड यही सब है वो बहुत,data_q2_disfluency/clips/238079_seg24.wav
238079,26,431.77,434.41,filler,हूं,हूं कि,data_q2_disfluency/clips/238079_seg26.wav
238123,0,1.06,12.04,filler,अ,तो मैंने अ परिवार में उसके बारे में बताया कि मैं ये नौकरी छोड़ रहा हूं क्योंकि उसने मैं काफी समय से वर्क कर रहा था,data_q2_disfluency/clips/238123_seg0.wav
238123,0,1.06,12.04,filler,हूं,तो मैंने अ परिवार में उसके बारे में बताया कि मैं ये नौकरी छोड़ रहा हूं क्योंकि उसने मैं काफी समय से वर्क कर रहा था,data_q2_disfluency/clips/238123_seg0.wav
