disfluency_type,audio_segment_url,start_time (s),end_time (s),transcription_snippet,recording_id,evidence,notes
filler,data_q2_disfluency/clips/238079_seg0.wav,37.54,42.7,ओके।,238079,ओके,
filler,data_q2_disfluency/clips/238079_seg1.wav,45.58,58.39,अम्म फिलहाल तो मेरा है कि मुझे प्रोफेसर बनना है तो फिलहाल मैं वो देख रही हूँ उसके उसका प्रिपरेशन करना है अ,238079,अम्म,
filler,data_q2_disfluency/clips/238079_seg1.wav,45.58,58.39,अम्म फिलहाल तो मेरा है कि मुझे प्रोफेसर बनना है तो फिलहाल मैं वो देख रही हूँ उसके उसका प्रिपरेशन करना है अ,238079,हूँ,
filler,data_q2_disfluency/clips/238079_seg1.wav,45.58,58.39,अम्म फिलहाल तो मेरा है कि मुझे प्रोफेसर बनना है तो फिलहाल मैं वो देख रही हूँ उसके उसका प्रिपरेशन करना है अ,238079,अ,
filler,data_q2_disfluency/clips/238079_seg3.wav,64.81,69.19,अच्छा,238079,अच्छा,
filler,data_q2_disfluency/clips/238079_seg4.wav,81.22,87.88,जी हां हां,238079,हां,
filler,data_q2_disfluency/clips/238079_seg4.wav,81.22,87.88,जी हां हां,238079,हां,
repetition,data_q2_disfluency/clips/238079_seg4.wav,81.22,87.88,जी हां हां,238079,हां (x2),
hesitation,data_q2_disfluency/clips/238079_seg4.wav,81.22,87.88,जी हां हां,238079,जी हां हां,
filler,data_q2_disfluency/clips/238079_seg5.wav,108.16,111.25,हां अच्छा,238079,हां,
filler,data_q2_disfluency/clips/238079_seg5.wav,108.16,111.25,हां अच्छा,238079,अच्छा,
repetition,data_q2_disfluency/clips/238079_seg6.wav,123.07,126.28,जी जी .,238079,जी (x2),
filler,data_q2_disfluency/clips/238079_seg7.wav,148.66,153.64,हुन,238079,हुन,
hesitation,data_q2_disfluency/clips/238079_seg7.wav,148.66,153.64,हुन,238079,हुन,
repetition,data_q2_disfluency/clips/238079_seg8.wav,171.79,176.41,जी जी,238079,जी (x2),
hesitation,data_q2_disfluency/clips/238079_seg8.wav,171.79,176.41,जी जी,238079,जी जी,
filler,data_q2_disfluency/clips/238079_seg9.wav,179.41,187.06,ह्यू,238079,ह्यू,
hesitation,data_q2_disfluency/clips/238079_seg9.wav,179.41,187.06,ह्यू,238079,ह्यू,
repetition,data_q2_disfluency/clips/238079_seg12.wav,234.01,248.59,जी जी,238079,जी (x2),
hesitation,data_q2_disfluency/clips/238079_seg12.wav,234.01,248.59,जी जी,238079,जी जी,
filler,data_q2_disfluency/clips/238079_seg14.wav,263.32,277.57,क ये काम होना चाहिए अब ऐसा काम अगर मिल जाए आ जिसमें आपको वो करने में आपको अ मन ना लगे या फिर आपको जो करना चाहे जबरदस्ती आप कर रहे हो तो फिर वो आप मतलब वो काम सही से नहीं हो पाते मेरा ये मानना है,238079,आ,
filler,data_q2_disfluency/clips/238079_seg14.wav,263.32,277.57,क ये काम होना चाहिए अब ऐसा काम अगर मिल जाए आ जिसमें आपको वो करने में आपको अ मन ना लगे या फिर आपको जो करना चाहे जबरदस्ती आप कर रहे हो तो फिर वो आप मतलब वो काम सही से नहीं हो पाते मेरा ये मानना है,238079,अ,
filler,data_q2_disfluency/clips/238079_seg15.wav,277.6,291.49,अगर आप ऐसे ही काम को ऐसे करियर को चूज करते हैं जिसमें मतलब अ आपका मन भी लगता रहे एंड आपको वो आपको वो करने में मज़ा आए आपको बतलब री अ बाद में पश्तावा ना हो कि ये मैंने क्यों कर लिया ये मुझे नहीं करना चाहिए था,238079,अ,
filler,data_q2_disfluency/clips/238079_seg15.wav,277.6,291.49,अगर आप ऐसे ही काम को ऐसे करियर को चूज करते हैं जिसमें मतलब अ आपका मन भी लगता रहे एंड आपको वो आपको वो करने में मज़ा आए आपको बतलब री अ बाद में पश्तावा ना हो कि ये मैंने क्यों कर लिया ये मुझे नहीं करना चाहिए था,238079,अ,
filler,data_q2_disfluency/clips/238079_seg16.wav,291.55,295.9,तो आ ऐसा नहीं होना चाहिए मेरा ये ख्याल है।,238079,आ,
filler,data_q2_disfluency/clips/238079_seg16.wav,291.55,295.9,तो आ ऐसा नहीं होना चाहिए मेरा ये ख्याल है।,238079,तो,
filler,data_q2_disfluency/clips/238079_seg17.wav,298.54,302.65,हम्म,238079,हम्म,
filler,data_q2_disfluency/clips/238079_seg23.wav,392.26,406.93,कि आपने अगर उह पहले कही जॉब किया रहेगा मतलब किया है और अगर आपको फिर से वो कंपनी छोड़ते हो एंड आपने बहुत तक मतलब टाइम दिया है उस कंपनी को एंड फिर आप अगर उसको छोड़ते हो तो आपको बहुत एक एक्सपीरियंस गेन हो जाता है कि हां ये काम करते हैं,238079,उह,
